x,y,velocity_x,velocity_y,velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,v,yaw,time,x_ped,y_ped,steer,brake,throttle
-143.0,-4.0,0.0,0.0,-0.9800000786781311,0.0,0.0,0.0,0.0,-179.99996948242188,0.2,0.0,0.0,0.045172352343797684,0.0,0.0
-143.0,-4.0,0.0,0.0,-1.9600002765655518,0.0,0.0,0.0,0.0,-179.99996948242188,0.3,-259.0,9.990033149719238,0.045172352343797684,0.0,0.0
-143.0,-4.0,0.0,0.0,-2.940000295639038,0.0,0.0,0.0,0.0,-179.99996948242188,0.4,-259.0,9.966778755187988,0.045172352343797684,0.0,0.0
-143.0,-4.0,0.0,0.0,-3.919999361038208,0.0,0.0,0.0,0.0,-179.99996948242188,0.5,-259.0,9.930234909057617,0.045172352343797684,0.0,0.0
-143.0,-4.0,3.0334069833770627e-07,4.97945165989222e-07,-2.2274656295776367,-4.860645640292205e-05,-2.112660695274826e-05,-1.3366106031753588e-05,5.830651486755499e-07,-179.99996948242188,0.6,-259.0,9.880402565002441,-0.0024841513950377703,0.0,0.0
-143.00111389160156,-4.000032901763916,0.0025632246397435665,0.011298713274300098,0.4248988926410675,-1.0585976839065552,1.064786434173584,-0.001891896827146411,0.011585812108291493,179.999755859375,0.7,-259.0,9.817281723022461,-0.0024841513950377703,0.0,0.0
-143.00135803222656,-3.999994993209839,-0.0005839865771122277,-0.002643679268658161,0.5692771673202515,0.3049238324165344,-0.24064120650291443,0.0005323207005858421,0.0027074121218943017,179.99964904785156,0.8,-259.0,9.740872383117676,-0.0024841513950377703,0.0,0.0
-143.00086975097656,-3.999925374984741,-0.0014602139126509428,-0.006887215655297041,0.4492137134075165,0.6097568273544312,-0.610308825969696,0.0009156627929769456,0.00704030994724437,179.99989318847656,0.9,-259.0,9.652685165405273,-0.0024841513950377703,0.0,0.0
-143.00030517578125,-3.999929189682007,-0.0011649855878204107,-0.005628175102174282,0.23977120220661163,0.4551658034324646,-0.49230390787124634,0.00031778065022081137,0.005747481744256676,-179.9999542236328,1.0,-259.0,9.562685012817383,-0.0024841513950377703,0.0,0.0
-142.99998474121094,-3.99995756149292,-0.0005817440687678754,-0.002821984002366662,0.05663129687309265,0.216394305229187,-0.24762651324272156,2.713252615649253e-05,0.0028813225906100773,-179.9999542236328,1.1,-259.0,9.472684860229492,-0.0024841513950377703,0.0,0.0
-142.99981689453125,-3.99997615814209,-0.00013544551620725542,-0.0006849068449810147,-0.051877398043870926,0.04792862385511398,-0.057966750115156174,-5.666968718287535e-06,0.0006981710923280179,-179.9999542236328,1.2,-259.0,9.382684707641602,-0.0024002259597182274,0.0,0.0
-142.99981689453125,-3.9999821186065674,7.957183697726578e-05,0.0003029004146810621,-0.0881001278758049,-0.027820831164717674,0.0337645597755909,3.4160862014687154e-06,0.000313177806451696,-179.9999542236328,1.3,-259.0,9.292684555053711,-0.0023834409657865763,0.0,0.18858903646469116
-142.9998779296875,-3.9999828338623047,0.0001241242716787383,0.0004950993461534381,-0.07668223977088928,-0.041358910501003265,0.052780721336603165,1.9296505797683494e-06,0.0005104215878872475,-179.9999542236328,1.4,-259.0,9.20268440246582,-0.002165235811844468,0.0,0.46758121252059937
-142.99993896484375,-3.9999821186065674,8.912410703487694e-05,0.00035047769779339433,-0.04555385559797287,-0.028611060231924057,0.037914253771305084,-8.715431931705098e-08,0.0003616320272118083,-179.9999542236328,1.5,-259.0,9.112685203552246,-0.0009063730831257999,0.0,0.5929484367370605
-142.99996948242188,-3.9999969005584717,3.990348704974167e-05,1.5774279745528474e-05,-0.015050782822072506,-0.012523510493338108,0.017036832869052887,9.653128927311627e-07,4.2908229749304396e-05,-179.9999542236328,1.6,-259.0,9.022685050964355,-0.0009567272500135005,0.0,0.6780760884284973
-142.99998474121094,-4.000002861022949,5.875301212654449e-06,2.8605478519239114e-07,0.005017118528485298,-0.000731485488358885,0.0025258157402276993,4.255646217643516e-07,5.882260762627776e-06,-179.9999542236328,1.7,-259.0,8.932684898376465,-0.0020980958361178637,0.0,0.7067509293556213
-142.99998474121094,-4.000002861022949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.9999542236328,1.8,-259.0,8.842684745788574,-0.0017288277158513665,0.0,0.7095722556114197
-142.99996948242188,-3.9999992847442627,-9.099509043153375e-06,-3.346952325955499e-06,0.008730373345315456,0.002360335784032941,-0.0038721072487533092,-7.589478911995684e-08,9.695522404628282e-06,-179.9999542236328,1.9,-259.0,8.752684593200684,-0.0017120428383350372,0.0,0.712385356426239
-143.03602600097656,-3.9999632835388184,-0.9551414251327515,0.000991934328339994,0.009794235229492188,0.011793647892773151,1.89249849319458,-0.028199682012200356,0.9551419402048762,179.9988555908203,2.0,-259.0,8.662684440612793,-0.0017120428383350372,0.0,0.7290943264961243
-143.19277954101562,-3.9998104572296143,-1.9473103284835815,0.0022545773535966873,0.007071018218994141,0.008766070008277893,1.5500383377075195,-0.055708203464746475,1.9473116336472387,179.99441528320312,2.1,-259.0,8.572684288024902,-0.001695257960818708,0.0,0.766995370388031
-143.42591857910156,-3.999565601348877,-2.599500894546509,0.0033201000187546015,0.003369817743077874,0.0023563101422041655,0.27672433853149414,-0.07221740484237671,2.5995030147726763,179.98788452148438,2.2,-259.0,8.482685089111328,-0.001695257960818708,0.0,0.800000011920929
