x,y,speed,yaw,time
-239.86053466796875,-84.16598510742188,7.804070657880819,-13.841480255126953,33.775
-239.66943359375,-84.2054672241211,7.808772487522757,-13.577624320983887,33.8
-239.47796630859375,-84.24407958984375,7.815941815974053,-13.31273365020752,33.825
-239.2861328125,-84.28184509277344,7.825279198379315,-13.04667854309082,33.85
-239.09384155273438,-84.31874084472656,7.8363759022650115,-12.77953052520752,33.875
-238.90110778808594,-84.35478973388672,7.848939744111484,-12.511524200439453,33.9
-238.70787048339844,-84.38999938964844,7.862873903262588,-12.242847442626953,33.925
-238.5140838623047,-84.42435455322266,7.8781414368956435,-11.97355842590332,33.95
-238.3197784423828,-84.45787811279297,7.894616673374927,-11.703692436218262,33.975
-238.12489318847656,-84.49056243896484,7.912198134716095,-11.433244705200195,34.0
-237.92938232421875,-84.52242279052734,7.9308525808824495,-11.162186622619629,34.025
-237.7332763671875,-84.55342864990234,7.950644918666227,-10.890520095825195,34.05
-237.53651428222656,-84.58358001708984,7.971574167538219,-10.618148803710938,34.075
-237.33909606933594,-84.6128921508789,7.993574096118936,-10.34483528137207,34.1
-237.14097595214844,-84.64132690429688,8.016607056952004,-10.070233345031738,34.125
-236.94212341308594,-84.66889190673828,8.040465481411754,-9.794232368469238,34.15
-236.7425537109375,-84.69556427001953,8.065013086019375,-9.51661205291748,34.175
-236.542236328125,-84.7213363647461,8.090186829671131,-9.237224578857422,34.2
-236.3411407470703,-84.74620056152344,8.115856755944563,-8.955973625183105,34.225
-236.13931274414062,-84.77013397216797,8.141924395625953,-8.672953605651855,34.25
-235.93670654296875,-84.79314422607422,8.16830642776055,-8.388436317443848,34.275
-235.7333526611328,-84.81522369384766,8.194969817150428,-8.102730751037598,34.3
-235.5292205810547,-84.83636474609375,8.221925011708532,-7.815957546234131,34.325
-235.3242950439453,-84.8565673828125,8.249138618634362,-7.528235912322998,34.35
-235.11859130859375,-84.87581634521484,8.27663207723826,-7.239569664001465,34.375
-234.912109375,-84.89411163330078,8.30428809995998,-6.949957370758057,34.4
-234.704833984375,-84.91142272949219,8.332572716633898,-6.659460067749023,34.425
-234.49676513671875,-84.92774963378906,8.361548803582757,-6.368046283721924,34.45
-234.28790283203125,-84.94309997558594,8.391424829132868,-6.075657844543457,34.475
-234.0781707763672,-84.95745086669922,8.422320112947473,-5.782290935516357,34.5
-233.86761474609375,-84.9708023071289,8.454375518553544,-5.487887859344482,34.525
-233.6561737060547,-84.98312377929688,8.487657686741576,-5.192447185516357,34.55
-233.44378662109375,-84.99441528320312,8.52225930743342,-4.895906925201416,34.575
-233.23046875,-85.00468444824219,8.558214238889397,-4.598207473754883,34.6
-233.0161590576172,-85.013916015625,8.5956252844905,-4.299317836761475,34.625
-232.80087280273438,-85.02205657958984,8.634577532352653,-3.9991772174835205,34.65
-232.58450317382812,-85.02913665771484,8.67513343125219,-3.6977548599243164,34.675
-232.3670654296875,-85.03515625,8.717335090113982,-3.3955390453338623,34.7
-232.14854431152344,-85.04010772705078,8.76097125476353,-3.0930793285369873,34.725
-231.9288787841797,-85.04399108886719,8.805988558540998,-2.791626453399658,34.75
-231.70806884765625,-85.04690551757812,8.852253036302768,-2.4928596019744873,34.775
-231.48602294921875,-85.04885864257812,8.899718703740323,-2.198639392852783,34.8
-231.26280212402344,-85.04988861083984,8.94834690608526,-1.9104608297348022,34.825
-231.03831481933594,-85.05009460449219,8.998281574706024,-1.6306151151657104,34.85
-230.8125762939453,-85.04946899414062,9.049357618695995,-1.359130859375,34.875
-230.58554077148438,-85.04805755615234,9.10176851422377,-1.096435546875,34.9
-230.35716247558594,-85.04588317871094,9.155592446725297,-0.84295654296875,34.925
-230.12741088867188,-85.04299926757812,9.210799847290753,-0.599151611328125,34.95
-229.89627075195312,-85.0394287109375,9.267441902626386,-0.3658752143383026,34.975
-229.66366577148438,-85.0352554321289,9.325633534003263,-0.1441345065832138,35.0
-229.42962646484375,-85.03050231933594,9.385359882395099,0.06538662314414978,35.025
-229.19403076171875,-85.02528381347656,9.446577183163267,0.2613426446914673,35.05
-228.95692443847656,-85.01961517333984,9.509241347265807,0.44275450706481934,35.075
-228.71820068359375,-85.01361083984375,9.573431510986962,0.6085100769996643,35.1
-228.47784423828125,-85.00732421875,9.639109293584381,0.7579140663146973,35.125
-228.23583984375,-85.00083923339844,9.706300046576894,0.8902273774147034,35.15
-227.99208068847656,-84.99419403076172,9.774876215710128,1.0053731203079224,35.175
-227.7466583251953,-84.98748016357422,9.84483570279761,1.103449821472168,35.2
-227.4993896484375,-84.980712890625,9.916124536427604,1.185243844985962,35.225
-227.25035095214844,-84.97394561767578,9.988658322892107,1.2513946294784546,35.25
-226.99948120117188,-84.96720886230469,10.062346774855774,1.303061842918396,35.275
-226.7467498779297,-84.96050262451172,10.137165440933117,1.3416528701782227,35.3
-226.49212646484375,-84.95386505126953,10.21311156445121,1.369000792503357,35.325
-226.23556518554688,-84.947265625,10.29020367477042,1.3870092630386353,35.35
-225.97705078125,-84.94059753417969,10.368623092869335,1.3982675075531006,35.375
-225.71658325195312,-84.93412017822266,10.448175935594927,1.4030693769454956,35.4
-225.45407104492188,-84.92770385742188,10.528887516981417,1.4017695188522339,35.425
-225.18954467773438,-84.92135620117188,10.610915803423138,1.3950940370559692,35.45
-224.9229278564453,-84.91510772705078,10.694342189220485,1.3834577798843384,35.475
-224.65419006347656,-84.90897369384766,10.77912768152578,1.366756796836853,35.5
-224.38333129882812,-84.90301513671875,10.86537499899057,1.3441566228866577,35.525
-224.11029052734375,-84.89725494384766,10.953335290626965,1.3157942295074463,35.55
-223.83499145507812,-84.89168548583984,11.042927454461744,1.281981348991394,35.575
-223.55743408203125,-84.88633728027344,11.13405438098151,1.2431942224502563,35.6
-223.27757263183594,-84.88121795654297,11.226486151854562,1.2002900838851929,35.625
-222.995361328125,-84.8763198852539,11.320009832929244,1.1543433666229248,35.65
-222.71080017089844,-84.87162017822266,11.414436604889492,1.1062861680984497,35.675
-222.42385864257812,-84.86712646484375,11.509608034408798,1.0567467212677002,35.7
-222.134521484375,-84.86284637451172,11.60538730007596,1.0061217546463013,35.725
-221.84278869628906,-84.8587875366211,11.701659833785703,0.9546642303466797,35.75
-221.5486297607422,-84.85494995117188,11.798326981693284,0.9025335907936096,35.775
-221.25205993652344,-84.85133361816406,11.89530281876732,0.849833607673645,35.8
-220.95306396484375,-84.84795379638672,11.992519721238242,0.7966306209564209,35.825
-220.65164184570312,-84.84483337402344,12.089913967605378,0.7429670095443726,35.85
-220.34776306152344,-84.8419418334961,12.18742977035289,0.6888800263404846,35.875
-220.04144287109375,-84.83931732177734,12.285030644790742,0.6344587802886963,35.9
-219.7327117919922,-84.83694458007812,12.382669178465038,0.5798159837722778,35.925
-219.42152404785156,-84.83483123779297,12.480312396929456,0.5249994993209839,35.95
-219.1078643798828,-84.8329849243164,12.577930629524701,0.4699661433696747,35.975
-218.79180908203125,-84.83140563964844,12.67549875420337,0.4146650433540344,36.0
-218.47329711914062,-84.83010864257812,12.772996315488962,0.35906362533569336,36.025
-218.15234375,-84.82908630371094,12.870399003467453,0.3031409680843353,36.05
-217.82896423339844,-84.82837677001953,12.967695842947046,0.24688370525836945,36.075
-217.50314331054688,-84.82794952392578,13.064872048464668,0.19028320908546448,36.1
-217.17491149902344,-84.8278579711914,13.161869939357645,0.133460134267807,36.125
-216.84425354003906,-84.82805633544922,13.258770119537532,0.07628095895051956,36.15
-216.51116943359375,-84.82857513427734,13.355512976928607,0.018712041899561882,36.175
-216.1756591796875,-84.82941436767578,13.452098963781376,-0.039093017578125,36.2
-215.83775329589844,-84.83057403564453,13.548521675388246,-0.0968322604894638,36.225
-215.49745178222656,-84.83203887939453,13.64479003136559,-0.153839111328125,36.25
