x,y,speed,yaw,time
-143.0,-4.0,0.0,-179.99996948242188,0.05
-143.0,-4.0,0.0,-179.99996948242188,0.075
-143.0,-4.0,0.0,-179.99996948242188,0.1
-143.0,-4.0,0.0,-179.99996948242188,0.125
-143.0,-4.0,0.0,-179.99996948242188,0.15
-143.0,-4.0,0.0,-179.99996948242188,0.175
-143.0,-4.0,0.0,-179.99996948242188,0.2
-143.0,-4.0,0.0,-179.99996948242188,0.225
-143.0,-4.0,0.0,-179.99996948242188,0.25
-143.0,-4.0,0.0,-179.99996948242188,0.275
-143.0,-4.0,0.0,-179.99996948242188,0.3
-143.0,-4.0,0.0,-179.99996948242188,0.325
-143.0,-4.0,0.0,-179.99996948242188,0.35
-143.0,-4.0,0.0,-179.99996948242188,0.375
-143.0,-4.0,0.0,-179.99996948242188,0.4
-143.0,-4.0,0.0,-179.99996948242188,0.425
-143.0,-4.0,5.421819154321618e-07,-179.99996948242188,0.45
-143.0,-4.0,1.853557523246797e-07,-179.99996948242188,0.475
-143.0,-4.0,3.566020383741505e-07,-179.99996948242188,0.5
-143.0,-4.0,1.1927861635552252e-07,-179.99996948242188,0.525
-143.0,-4.0,0.0023375670959361874,-179.99996948242188,0.55
-143.00018310546875,-4.000061988830566,0.009271637559873062,-179.9999542236328,0.575
-143.00033569335938,-4.000093460083008,0.006607117848043329,179.99996948242188,0.6
-143.0004119873047,-4.0001091957092285,0.004326539305035639,179.9999542236328,0.625
-143.00047302246094,-4.000113010406494,0.0024093596722259357,179.9999542236328,0.65
-143.00050354003906,-4.00010871887207,0.0008279504049346697,179.9999542236328,0.675
-143.00050354003906,-4.0000996589660645,0.0004418576832705325,179.9999542236328,0.7
-143.00048828125,-4.000089168548584,0.0014237902089695323,179.9999542236328,0.725
-143.0004425048828,-4.000079154968262,0.0021455732740525727,179.9999542236328,0.75
-143.00038146972656,-4.000070095062256,0.0026344222052218417,179.9999542236328,0.775
-143.00033569335938,-4.000063419342041,0.0029204924751295176,179.9999542236328,0.8
-143.00027465820312,-4.000059127807617,0.003034494245529279,-179.99998474121094,0.825
-143.0001983642578,-4.000056743621826,0.0030078221056095444,179.99996948242188,0.85
-143.00013732910156,-4.000056743621826,0.0028709414394415384,-179.9999542236328,0.875
-143.00009155273438,-4.000058174133301,0.0026530805562942662,-179.9999542236328,0.9
-143.00003051757812,-4.000060558319092,0.002379847448027585,-179.9999542236328,0.925
-142.99998474121094,-4.000062942504883,0.0020747862039480307,-179.9999542236328,0.95
-142.9999542236328,-4.00006628036499,0.001757931218523043,-179.9999542236328,0.975
-142.99990844726562,-4.000068664550781,0.0014447108700267927,-179.9999542236328,1.0
-142.99989318847656,-4.0000715255737305,0.001147004026937142,-179.9999542236328,1.025
-142.99986267089844,-4.0000739097595215,0.0008737346702955781,-179.9999542236328,1.05
-142.99984741210938,-4.000075817108154,0.0006306332528236263,-179.9999542236328,1.075
-142.99984741210938,-4.000077247619629,0.0004204578155603661,-179.9999542236328,1.1
-142.9998321533203,-4.000079154968262,0.00024436338967735185,-179.9999542236328,1.125
-142.9998321533203,-4.00007963180542,0.00010168093713908984,-179.9999542236328,1.15
-142.9998321533203,-4.000080585479736,1.146568283677051e-05,-179.9999542236328,1.175
-142.9998321533203,-4.0000810623168945,9.509666585794647e-05,-179.9999542236328,1.2
-142.9998321533203,-4.000081539154053,0.00015495850466364203,-179.9999542236328,1.225
-142.99984741210938,-4.000081539154053,0.00019372534061051107,-179.9999542236328,1.25
-142.99984741210938,-4.000081539154053,0.00021529636127762627,-179.9999542236328,1.275
-142.99984741210938,-4.000081539154053,0.00022286980256232115,-179.9999542236328,1.3
-142.99986267089844,-4.000081539154053,0.00021945991541680367,-179.9999542236328,1.325
-142.99986267089844,-4.000080585479736,0.00020835624073824014,-179.9999542236328,1.35
-142.99986267089844,-4.0000810623168945,0.00019104640513370423,-179.9999542236328,1.375
-142.99986267089844,-4.000080585479736,0.00017059109430174127,-179.9999542236328,1.4
-142.9998779296875,-4.000080585479736,0.00014843185419967744,-179.9999542236328,1.425
-142.9998779296875,-4.000081539154053,4.333449694306646e-05,-179.9999542236328,1.45
-142.9998779296875,-4.000083923339844,2.458225796406317e-05,-179.9999542236328,1.475
-142.9998779296875,-4.000086307525635,1.9243319840402232e-05,-179.9999542236328,1.5
-142.99989318847656,-4.000088214874268,1.443587451529413e-05,-179.9999542236328,1.525
-142.99989318847656,-4.000089168548584,1.022738235815359e-05,-179.9999542236328,1.55
-142.99989318847656,-4.000089645385742,6.696946501802614e-06,-179.9999542236328,1.575
-142.99989318847656,-4.0000901222229,3.674676618213305e-06,-179.9999542236328,1.6
-142.99989318847656,-4.0000901222229,1.4083594992149313e-06,-179.9999542236328,1.625
-142.99989318847656,-4.0000901222229,1.1283247607746062e-06,-179.9999542236328,1.65
-142.99989318847656,-4.0000901222229,2.2920043693003616e-06,-179.9999542236328,1.675
-142.99989318847656,-4.000089645385742,3.2874928914781078e-06,-179.9999542236328,1.7
-142.99989318847656,-4.000089168548584,3.8137385343316712e-06,-179.9999542236328,1.725
-142.99989318847656,-4.000089168548584,8.467103796977808e-07,-179.9999542236328,1.75
-142.99989318847656,-4.000088691711426,1.8176562062283585e-06,-179.9999542236328,1.775
-142.99989318847656,-4.000088691711426,2.523725991281219e-06,-179.9999542236328,1.8
-142.99989318847656,-4.000088214874268,2.9973388664401525e-06,-179.9999542236328,1.825
-142.99989318847656,-4.000088214874268,3.2794175328907783e-06,-179.9999542236328,1.85
