x,y,speed,yaw,time
-137.25791931152344,-5.313621520996094,7.958143920200421,144.1154327392578,109.3
-137.4298553466797,-5.217188835144043,7.894710550130076,144.9560089111328,109.325
-137.60198974609375,-5.124401569366455,7.833208122112543,145.80088806152344,109.35
-137.7742919921875,-5.035204887390137,7.773230379383699,146.6490936279297,109.375
-137.94671630859375,-4.94956636428833,7.714416538945282,147.50048828125,109.4
-138.1192169189453,-4.867412090301514,7.65722319469758,148.35330200195312,109.425
-138.29173278808594,-4.788681983947754,7.601091272473494,149.20640563964844,109.45
-138.46420288085938,-4.71332311630249,7.546005781138153,150.05894470214844,109.475
-138.6365966796875,-4.6412739753723145,7.491938243936046,150.9099578857422,109.5
-138.80886840820312,-4.5724921226501465,7.438539867751275,151.75906372070312,109.525
-138.98095703125,-4.506932735443115,7.385877725477747,152.6060028076172,109.55
-139.15283203125,-4.444551467895508,7.333835474221063,153.45050048828125,109.575
-139.32444763183594,-4.385316848754883,7.282248885322156,154.29273986816406,109.6
-139.4957275390625,-4.329201698303223,7.2310794237771585,155.13304138183594,109.625
-139.66665649414062,-4.27617883682251,7.180299031038044,155.97174072265625,109.65
-139.83717346191406,-4.2262067794799805,7.130057972397182,156.80856323242188,109.675
-140.0072479248047,-4.179255485534668,7.0801344654741145,157.64378356933594,109.7
-140.17684936523438,-4.135304927825928,7.030482750060573,158.4778594970703,109.725
-140.3459014892578,-4.094315052032471,6.981340937515806,159.3106231689453,109.75
-140.51437377929688,-4.056217670440674,6.932923036342744,160.14085388183594,109.775
-140.68223571777344,-4.02093505859375,6.885230395175209,160.96728515625,109.8
-140.84945678710938,-3.988377571105957,6.838341126849313,161.78829956054688,109.825
-141.01600646972656,-3.9584362506866455,6.7923945823710845,162.60177612304688,109.85
-141.1818389892578,-3.930979013442993,6.747503526471077,163.4050750732422,109.875
-141.34695434570312,-3.9058644771575928,6.703623538550922,164.1955108642578,109.9
-141.51133728027344,-3.8829824924468994,6.660769605793092,164.97166442871094,109.925
-141.67495727539062,-3.8621160984039307,6.620557934857931,165.72882080078125,109.95
-141.83792114257812,-3.843083143234253,6.584529193501089,166.46421813964844,109.975
-142.00027465820312,-3.825718402862549,6.553153799888941,167.1761016845703,110.0
-142.16213989257812,-3.809884548187256,6.526369960412114,167.8638458251953,110.025
-142.32359313964844,-3.7954466342926025,6.504507833121534,168.52688598632812,110.05
-142.48475646972656,-3.7822821140289307,6.48717174977266,169.16494750976562,110.075
-142.6456756591797,-3.7703707218170166,6.4733512053683855,169.78114318847656,110.1
-142.80645751953125,-3.759542226791382,6.463772965363569,170.37286376953125,110.125
-142.9671630859375,-3.749699115753174,6.456708940272131,170.93997192382812,110.15
-143.12782287597656,-3.7408621311187744,6.451252843264693,171.48626708984375,110.175
-143.2884979248047,-3.732917070388794,6.448179212158515,172.01036071777344,110.2
-143.4491729736328,-3.7258148193359375,6.446832625372629,172.5131072998047,110.225
-143.6099395751953,-3.7195253372192383,6.447810870371881,172.9959716796875,110.25
-143.7708282470703,-3.714081287384033,6.451376249594873,173.46234130859375,110.275
-143.93191528320312,-3.7094035148620605,6.458627189837826,173.9115447998047,110.3
-144.09329223632812,-3.7054686546325684,6.469515725248299,174.34475708007812,110.325
-144.2550506591797,-3.7022807598114014,6.484633010323319,174.7639923095703,110.35
-144.4172821044922,-3.6998565196990967,6.504425320987782,175.17138671875,110.375
-144.5801239013672,-3.698213815689087,6.529305618430141,175.56898498535156,110.4
-144.7436981201172,-3.6973822116851807,6.5594201789486055,175.9589385986328,110.425
-144.9081268310547,-3.69739031791687,6.59471942971813,176.3429718017578,110.45
-145.0735321044922,-3.6982860565185547,6.634728097346482,176.72332763671875,110.475
-145.24000549316406,-3.7001006603240967,6.67933784894034,177.10122680664062,110.5
-145.40768432617188,-3.702855110168457,6.728521366716674,177.47740173339844,110.525
-145.57664489746094,-3.7065813541412354,6.781969170930094,177.85272216796875,110.55
-145.74696350097656,-3.711306095123291,6.839237598649113,178.22776794433594,110.575
-145.91876220703125,-3.717061996459961,6.899825135238524,178.60311889648438,110.6
-146.0920867919922,-3.7238574028015137,6.963261312671362,178.97842407226562,110.625
-146.26698303222656,-3.731689453125,7.029060474352812,179.35289001464844,110.65
-146.4435272216797,-3.740572214126587,7.0966731814141,179.72630310058594,110.675
-146.62171936035156,-3.7504820823669434,7.165957746209753,-179.90281677246094,110.7
-146.80160522460938,-3.7614200115203857,7.236372088782222,-179.53512573242188,110.725
-146.9832000732422,-3.7733964920043945,7.307704736004256,-179.17063903808594,110.75
-147.16650390625,-3.786442995071411,7.379628056090453,-178.80885314941406,110.775
-147.3515625,-3.8005528450012207,7.45222102739944,-178.450439453125,110.8
-147.53834533691406,-3.815725326538086,7.525208750613283,-178.09588623046875,110.825
-147.72686767578125,-3.8319883346557617,7.598419989865543,-177.74456787109375,110.85
-147.9171600341797,-3.8493309020996094,7.67212661105168,-177.3973388671875,110.875
-148.10919189453125,-3.8677587509155273,7.746292589729461,-177.05426025390625,110.9
-148.30300903320312,-3.887235641479492,7.821421684975453,-176.71694946289062,110.925
-148.49862670898438,-3.907719135284424,7.897670747269568,-176.38719177246094,110.95
-148.69607543945312,-3.9291930198669434,7.974929012263619,-176.06517028808594,110.975
-148.8953857421875,-3.951585531234741,8.053564680523781,-175.7537078857422,111.0
-149.09661865234375,-3.974820375442505,8.13334463451807,-175.4552764892578,111.025
-149.29978942871094,-3.9988889694213867,8.214017872221161,-175.16944885253906,111.05
-149.50491333007812,-4.023739337921143,8.295589971417558,-174.89744567871094,111.075
